City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,kourou,5.1552,-52.6478,26.84,84,64,3.91,GF,1729812598
151,port lincoln,-34.7333,135.8667,14.74,58,60,2.98,AU,1729812611
152,kavieng,-2.5744,150.7967,28.24,67,100,0.51,PG,1729812612
153,kone,-21.0595,164.8658,31.32,41,49,2.09,NC,1729812613
154,mugia,43.1041,-9.2179,13.84,71,37,9.87,ES,1729812614
155,hovd,48.0056,91.6419,1.36,52,46,3.51,MN,1729812374
156,nova vicosa,-17.8919,-39.3719,25.13,83,1,6.72,BR,1729812616
157,zhovkva,50.0583,23.9726,5.3,81,36,1.09,UA,1729812618
158,la passe,45.5549,-0.8967,17.04,78,77,7.59,FR,1729812451
159,ust-nera,64.5667,143.2,-12.39,82,100,1.93,RU,1729812620
160,abadeh,31.1608,52.6506,12.71,64,36,19.39,IR,1729812621
161,bagan,54.1001,77.6646,5.69,76,100,7.56,RU,1729812622
162,beitbridge,-22.2167,30.0,21.24,75,0,2.12,ZW,1729812624
163,atafu village,-8.5421,-172.5159,28.73,75,23,7.31,TK,1729812625
164,flying fish cove,-10.4217,105.6791,24.82,83,100,2.57,CX,1729812626
165,jianshui,23.6363,102.8264,17.56,89,49,0.61,CN,1729812627
166,sinabang,2.4803,96.3801,25.7,80,95,1.99,ID,1729812375
167,codrington,-38.2667,141.9667,13.03,48,84,3.74,AU,1729812630
168,kristiansund,63.1115,7.732,9.36,81,59,2.06,NO,1729812480
169,cidreira,-30.1811,-50.2056,21.26,99,100,3.23,BR,1729812632
170,slavuta,50.3016,26.8651,4.35,85,64,2.15,UA,1729812633
171,santa isabel,-23.3156,-46.2214,22.61,90,85,2.57,BR,1729812634
172,udachny,66.4167,112.4,-22.33,100,93,1.2,RU,1729812635
173,kaffrine,14.1059,-15.5508,28.68,46,100,1.28,SN,1729812637
174,zamora,-4.0692,-78.9567,21.56,96,69,0.66,EC,1729812638
